observation_id,relationship_id,team_id,product,sector,geography,size_bucket,relationship_maturity,observation_period_start,observation_period_end,available_date,focal_bank_activity_zar,other_bank_activity_zar,total_multibank_wallet_zar,known_truth_share,selection_probability,selection_weight,reconciled_to_bank_records,consent_reference,provenance_class,truth_status,evidence_tier,production_e3_eligible,measured_share_label_allowed,dataset_version
DEMO-R0003-payments,DEMO-R0003,DEMO-TEAM-03,Payments,mining,South Africa,upper_mid,new,2025-07-01,2026-06-30,2026-08-09,1459184091.13,8862306199.97,10321490291.09,0.14137339,0.32518266,3.07519472,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0003-liquidity,DEMO-R0003,DEMO-TEAM-03,Liquidity,mining,South Africa,upper_mid,new,2025-07-01,2026-06-30,2026-08-09,1120983008.04,3377175392.91,4498158400.94,0.24920932,0.32518266,3.07519472,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0003-fx-fx,DEMO-R0003,DEMO-TEAM-03,Cross-border FX,mining,South Africa,upper_mid,new,2025-07-01,2026-06-30,2026-08-09,628937678.28,2435648966.84,3064586645.12,0.20522757,0.32518266,3.07519472,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0003-trade-finance,DEMO-R0003,DEMO-TEAM-03,Trade finance,mining,South Africa,upper_mid,new,2025-07-01,2026-06-30,2026-08-09,396824428.28,3465390927.49,3862215355.77,0.10274529,0.32518266,3.07519472,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0004-collections,DEMO-R0004,DEMO-TEAM-04,Collections,consumer,South Africa,large,developing,2025-07-01,2026-06-30,2026-08-09,5291619096.28,5244250981.37,10535870077.65,0.50224795,0.48100718,2.07897103,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0004-payments,DEMO-R0004,DEMO-TEAM-04,Payments,consumer,South Africa,large,developing,2025-07-01,2026-06-30,2026-08-09,38309745869.46,88064475345.82,126374221215.27,0.30314526,0.48100718,2.07897103,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0004-liquidity,DEMO-R0004,DEMO-TEAM-04,Liquidity,consumer,South Africa,large,developing,2025-07-01,2026-06-30,2026-08-09,11066745805.23,55018517858.64,66085263663.87,0.16746163,0.48100718,2.07897103,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0004-fx-fx,DEMO-R0004,DEMO-TEAM-04,Cross-border FX,consumer,South Africa,large,developing,2025-07-01,2026-06-30,2026-08-09,6401162169.32,14694825477.26,21095987646.57,0.30343031,0.48100718,2.07897103,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0004-trade-finance,DEMO-R0004,DEMO-TEAM-04,Trade finance,consumer,South Africa,large,developing,2025-07-01,2026-06-30,2026-08-09,5991477411.63,12401796880.64,18393274292.27,0.32574284,0.48100718,2.07897103,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0005-collections,DEMO-R0005,DEMO-TEAM-05,Collections,real_estate,South Africa,upper_mid,developing,2025-07-01,2026-06-30,2026-08-09,7051202.78,30832270.87,37883473.66,0.18612873,0.38988136,2.56488282,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0005-payments,DEMO-R0005,DEMO-TEAM-05,Payments,real_estate,South Africa,upper_mid,developing,2025-07-01,2026-06-30,2026-08-09,24975003.6,36636152.24,61611155.83,0.40536496,0.38988136,2.56488282,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0005-liquidity,DEMO-R0005,DEMO-TEAM-05,Liquidity,real_estate,South Africa,upper_mid,developing,2025-07-01,2026-06-30,2026-08-09,20356653.78,46856442.19,67213095.97,0.30286737,0.38988136,2.56488282,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0005-fx-fx,DEMO-R0005,DEMO-TEAM-05,Cross-border FX,real_estate,South Africa,upper_mid,developing,2025-07-01,2026-06-30,2026-08-09,318702202.71,673113039.63,991815242.35,0.32133223,0.38988136,2.56488282,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0005-trade-finance,DEMO-R0005,DEMO-TEAM-05,Trade finance,real_estate,South Africa,upper_mid,developing,2025-07-01,2026-06-30,2026-08-09,4511570.18,25599356.45,30110926.63,0.14983166,0.38988136,2.56488282,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0006-collections,DEMO-R0006,DEMO-TEAM-06,Collections,consumer,SADC,upper_mid,established,2025-07-01,2026-06-30,2026-08-09,2121157314.02,2352151347.05,4473308661.07,0.47418085,0.40130631,2.49186216,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0006-payments,DEMO-R0006,DEMO-TEAM-06,Payments,consumer,SADC,upper_mid,established,2025-07-01,2026-06-30,2026-08-09,9898243967.48,31947811988.27,41846055955.75,0.23653947,0.40130631,2.49186216,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0006-liquidity,DEMO-R0006,DEMO-TEAM-06,Liquidity,consumer,SADC,upper_mid,established,2025-07-01,2026-06-30,2026-08-09,7995918670.25,31178589580.39,39174508250.65,0.20411025,0.40130631,2.49186216,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0006-fx-fx,DEMO-R0006,DEMO-TEAM-06,Cross-border FX,consumer,SADC,upper_mid,established,2025-07-01,2026-06-30,2026-08-09,5533192753.52,28039659076.89,33572851830.4,0.16481152,0.40130631,2.49186216,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0006-trade-finance,DEMO-R0006,DEMO-TEAM-06,Trade finance,consumer,SADC,upper_mid,established,2025-07-01,2026-06-30,2026-08-09,2244860055.05,8281608782.81,10526468837.86,0.2132586,0.40130631,2.49186216,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0007-collections,DEMO-R0007,DEMO-TEAM-07,Collections,tech,South Africa,large,established,2025-07-01,2026-06-30,2026-08-09,587931707.41,1063878658.89,1651810366.3,0.35593172,0.61861459,1.61651539,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0007-payments,DEMO-R0007,DEMO-TEAM-07,Payments,tech,South Africa,large,established,2025-07-01,2026-06-30,2026-08-09,2159498631.93,4264050699.92,6423549331.85,0.33618464,0.61861459,1.61651539,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0007-liquidity,DEMO-R0007,DEMO-TEAM-07,Liquidity,tech,South Africa,large,established,2025-07-01,2026-06-30,2026-08-09,1842658422.81,11093139881.46,12935798304.27,0.14244644,0.61861459,1.61651539,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0007-fx-fx,DEMO-R0007,DEMO-TEAM-07,Cross-border FX,tech,South Africa,large,established,2025-07-01,2026-06-30,2026-08-09,7784467840.28,24690576938.9,32475044779.18,0.23970615,0.61861459,1.61651539,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0007-trade-finance,DEMO-R0007,DEMO-TEAM-07,Trade finance,tech,South Africa,large,established,2025-07-01,2026-06-30,2026-08-09,91786981.25,909733130.18,1001520111.43,0.09164767,0.61861459,1.61651539,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0008-collections,DEMO-R0008,DEMO-TEAM-08,Collections,tech,Rest of Africa,upper_mid,new,2025-07-01,2026-06-30,2026-08-09,271734447.75,384315421.24,656049869.0,0.41419785,0.38274229,2.61272411,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0008-payments,DEMO-R0008,DEMO-TEAM-08,Payments,tech,Rest of Africa,upper_mid,new,2025-07-01,2026-06-30,2026-08-09,958006172.85,1544276679.13,2502282851.98,0.38285287,0.38274229,2.61272411,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0008-liquidity,DEMO-R0008,DEMO-TEAM-08,Liquidity,tech,Rest of Africa,upper_mid,new,2025-07-01,2026-06-30,2026-08-09,1118714994.46,713161994.64,1831876989.1,0.61069329,0.38274229,2.61272411,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0008-fx-fx,DEMO-R0008,DEMO-TEAM-08,Cross-border FX,tech,Rest of Africa,upper_mid,new,2025-07-01,2026-06-30,2026-08-09,1636234431.73,4024500863.27,5660735295.01,0.2890498,0.38274229,2.61272411,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0008-trade-finance,DEMO-R0008,DEMO-TEAM-08,Trade finance,tech,Rest of Africa,upper_mid,new,2025-07-01,2026-06-30,2026-08-09,20377748.39,139813811.3,160191559.69,0.12720863,0.38274229,2.61272411,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0009-collections,DEMO-R0009,DEMO-TEAM-09,Collections,mining,South Africa,mid,new,2025-07-01,2026-06-30,2026-08-09,536129365.9,1045801628.93,1581930994.83,0.33890819,0.28519767,3.50633996,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0009-payments,DEMO-R0009,DEMO-TEAM-09,Payments,mining,South Africa,mid,new,2025-07-01,2026-06-30,2026-08-09,569743325.5,1379622677.13,1949366002.63,0.29227109,0.28519767,3.50633996,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0009-liquidity,DEMO-R0009,DEMO-TEAM-09,Liquidity,mining,South Africa,mid,new,2025-07-01,2026-06-30,2026-08-09,554349225.07,647103907.03,1201453132.09,0.46139896,0.28519767,3.50633996,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0009-fx-fx,DEMO-R0009,DEMO-TEAM-09,Cross-border FX,mining,South Africa,mid,new,2025-07-01,2026-06-30,2026-08-09,345225808.14,1427502489.36,1772728297.51,0.19474265,0.28519767,3.50633996,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0009-trade-finance,DEMO-R0009,DEMO-TEAM-09,Trade finance,mining,South Africa,mid,new,2025-07-01,2026-06-30,2026-08-09,299852915.81,839505711.87,1139358627.68,0.26317694,0.28519767,3.50633996,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0010-collections,DEMO-R0010,DEMO-TEAM-10,Collections,real_estate,Rest of Africa,large,established,2025-07-01,2026-06-30,2026-08-09,10554581.2,21224230.08,31778811.28,0.33212637,0.52503855,1.90462206,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0010-payments,DEMO-R0010,DEMO-TEAM-10,Payments,real_estate,Rest of Africa,large,established,2025-07-01,2026-06-30,2026-08-09,80196286.26,113166686.66,193362972.93,0.41474479,0.52503855,1.90462206,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0010-liquidity,DEMO-R0010,DEMO-TEAM-10,Liquidity,real_estate,Rest of Africa,large,established,2025-07-01,2026-06-30,2026-08-09,26299282.78,64577018.23,90876301.01,0.28939649,0.52503855,1.90462206,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0010-fx-fx,DEMO-R0010,DEMO-TEAM-10,Cross-border FX,real_estate,Rest of Africa,large,established,2025-07-01,2026-06-30,2026-08-09,496936030.7,351108125.06,848044155.77,0.58597896,0.52503855,1.90462206,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0010-trade-finance,DEMO-R0010,DEMO-TEAM-10,Trade finance,real_estate,Rest of Africa,large,established,2025-07-01,2026-06-30,2026-08-09,12948601.77,37178879.08,50127480.85,0.25831344,0.52503855,1.90462206,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0011-collections,DEMO-R0011,DEMO-TEAM-11,Collections,telecoms,Rest of Africa,mid,developing,2025-07-01,2026-06-30,2026-08-09,1266987702.53,1450490351.72,2717478054.25,0.46623659,0.30899067,3.23634363,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0011-payments,DEMO-R0011,DEMO-TEAM-11,Payments,telecoms,Rest of Africa,mid,developing,2025-07-01,2026-06-30,2026-08-09,2271104793.65,6429923707.42,8701028501.07,0.26101567,0.30899067,3.23634363,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0011-liquidity,DEMO-R0011,DEMO-TEAM-11,Liquidity,telecoms,Rest of Africa,mid,developing,2025-07-01,2026-06-30,2026-08-09,1040736890.08,1507283391.24,2548020281.32,0.40844922,0.30899067,3.23634363,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0011-fx-fx,DEMO-R0011,DEMO-TEAM-11,Cross-border FX,telecoms,Rest of Africa,mid,developing,2025-07-01,2026-06-30,2026-08-09,1607778436.7,4913093249.88,6520871686.58,0.24655882,0.30899067,3.23634363,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0011-trade-finance,DEMO-R0011,DEMO-TEAM-11,Trade finance,telecoms,Rest of Africa,mid,developing,2025-07-01,2026-06-30,2026-08-09,413669110.36,1131063604.46,1544732714.82,0.26779333,0.30899067,3.23634363,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0012-collections,DEMO-R0012,DEMO-TEAM-12,Collections,real_estate,South Africa,mid,established,2025-07-01,2026-06-30,2026-08-09,8177476.8,21893303.17,30070779.96,0.27194096,0.28822737,3.46948313,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0012-payments,DEMO-R0012,DEMO-TEAM-12,Payments,real_estate,South Africa,mid,established,2025-07-01,2026-06-30,2026-08-09,8985830.64,41235284.65,50221115.29,0.17892535,0.28822737,3.46948313,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0012-liquidity,DEMO-R0012,DEMO-TEAM-12,Liquidity,real_estate,South Africa,mid,established,2025-07-01,2026-06-30,2026-08-09,5254083.55,25636307.27,30890390.82,0.17008796,0.28822737,3.46948313,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0012-fx-fx,DEMO-R0012,DEMO-TEAM-12,Cross-border FX,real_estate,South Africa,mid,established,2025-07-01,2026-06-30,2026-08-09,65050316.33,170042872.61,235093188.95,0.27670013,0.28822737,3.46948313,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0012-trade-finance,DEMO-R0012,DEMO-TEAM-12,Trade finance,real_estate,South Africa,mid,established,2025-07-01,2026-06-30,2026-08-09,6090201.11,33058147.4,39148348.51,0.15556725,0.28822737,3.46948313,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0013-collections,DEMO-R0013,DEMO-TEAM-13,Collections,real_estate,Global,upper_mid,developing,2025-07-01,2026-06-30,2026-08-09,7300707.55,6705322.33,14006029.87,0.5212546,0.41628942,2.40217492,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0013-payments,DEMO-R0013,DEMO-TEAM-13,Payments,real_estate,Global,upper_mid,developing,2025-07-01,2026-06-30,2026-08-09,10496723.84,13529964.77,24026688.61,0.43687767,0.41628942,2.40217492,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0013-liquidity,DEMO-R0013,DEMO-TEAM-13,Liquidity,real_estate,Global,upper_mid,developing,2025-07-01,2026-06-30,2026-08-09,9666001.28,13535802.06,23201803.34,0.4166056,0.41628942,2.40217492,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0013-fx-fx,DEMO-R0013,DEMO-TEAM-13,Cross-border FX,real_estate,Global,upper_mid,developing,2025-07-01,2026-06-30,2026-08-09,357646893.72,801408160.58,1159055054.3,0.30856765,0.41628942,2.40217492,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0013-trade-finance,DEMO-R0013,DEMO-TEAM-13,Trade finance,real_estate,Global,upper_mid,developing,2025-07-01,2026-06-30,2026-08-09,4570732.32,18044186.46,22614918.78,0.20211137,0.41628942,2.40217492,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0014-collections,DEMO-R0014,DEMO-TEAM-14,Collections,insurance,Rest of Africa,upper_mid,new,2025-07-01,2026-06-30,2026-08-09,3203648026.66,9263556294.48,12467204321.14,0.25696603,0.4002981,2.49813826,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0014-payments,DEMO-R0014,DEMO-TEAM-14,Payments,insurance,Rest of Africa,upper_mid,new,2025-07-01,2026-06-30,2026-08-09,5354987007.15,6134767845.92,11489754853.07,0.46606625,0.4002981,2.49813826,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0014-liquidity,DEMO-R0014,DEMO-TEAM-14,Liquidity,insurance,Rest of Africa,upper_mid,new,2025-07-01,2026-06-30,2026-08-09,1665546591.75,14800099809.0,16465646400.75,0.10115282,0.4002981,2.49813826,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0014-fx-fx,DEMO-R0014,DEMO-TEAM-14,Cross-border FX,insurance,Rest of Africa,upper_mid,new,2025-07-01,2026-06-30,2026-08-09,2237389859.98,7705855842.43,9943245702.42,0.22501605,0.4002981,2.49813826,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0014-trade-finance,DEMO-R0014,DEMO-TEAM-14,Trade finance,insurance,Rest of Africa,upper_mid,new,2025-07-01,2026-06-30,2026-08-09,57588583.27,149960765.09,207549348.37,0.27746935,0.4002981,2.49813826,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0015-collections,DEMO-R0015,DEMO-TEAM-15,Collections,consumer,Global,mid,developing,2025-07-01,2026-06-30,2026-08-09,617884373.85,1102941521.59,1720825895.44,0.35906269,0.27140535,3.68452577,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0015-payments,DEMO-R0015,DEMO-TEAM-15,Payments,consumer,Global,mid,developing,2025-07-01,2026-06-30,2026-08-09,5564171291.95,39402646799.55,44966818091.5,0.12373949,0.27140535,3.68452577,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0015-liquidity,DEMO-R0015,DEMO-TEAM-15,Liquidity,consumer,Global,mid,developing,2025-07-01,2026-06-30,2026-08-09,2273118908.48,4602716857.48,6875835765.95,0.33059529,0.27140535,3.68452577,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0015-fx-fx,DEMO-R0015,DEMO-TEAM-15,Cross-border FX,consumer,Global,mid,developing,2025-07-01,2026-06-30,2026-08-09,1979573854.54,9145297158.74,11124871013.29,0.17794129,0.27140535,3.68452577,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
DEMO-R0015-trade-finance,DEMO-R0015,DEMO-TEAM-15,Trade finance,consumer,Global,mid,developing,2025-07-01,2026-06-30,2026-08-09,192021404.73,1027255819.88,1219277224.61,0.1574879,0.27140535,3.68452577,False,,SYNTHETIC_SIMULATION,SIMULATED_KNOWN_TRUTH,,False,False,representative-multibank-analog-1.0.0+seed.20260809
