observation_id,relationship_id,team_id,product,sector,encouragement_arm,assignment_probability,qualified_action_30d,pipeline_milestone_60d,reconciled_outcome_90d,simulated_contribution_zar,censored,outcome_provenance,production_causal_claim_allowed
DEMO-R0021-payments,DEMO-R0021,DEMO-TEAM-21,Payments,real_estate,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0021-liquidity,DEMO-R0021,DEMO-TEAM-21,Liquidity,real_estate,0,0.5,0,0,1,757.93,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0021-fx-fx,DEMO-R0021,DEMO-TEAM-21,Cross-border FX,real_estate,0,0.5,1,1,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0021-trade-finance,DEMO-R0021,DEMO-TEAM-21,Trade finance,real_estate,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0022-collections,DEMO-R0022,DEMO-TEAM-22,Collections,mining,0,0.5,0,1,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0022-payments,DEMO-R0022,DEMO-TEAM-22,Payments,mining,0,0.5,0,1,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0022-liquidity,DEMO-R0022,DEMO-TEAM-22,Liquidity,mining,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0022-fx-fx,DEMO-R0022,DEMO-TEAM-22,Cross-border FX,mining,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0022-trade-finance,DEMO-R0022,DEMO-TEAM-22,Trade finance,mining,0,0.5,1,1,1,827206.82,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0023-collections,DEMO-R0023,DEMO-TEAM-23,Collections,mining,1,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0023-payments,DEMO-R0023,DEMO-TEAM-23,Payments,mining,1,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0023-liquidity,DEMO-R0023,DEMO-TEAM-23,Liquidity,mining,1,0.5,1,1,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0023-fx-fx,DEMO-R0023,DEMO-TEAM-23,Cross-border FX,mining,1,0.5,1,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0023-trade-finance,DEMO-R0023,DEMO-TEAM-23,Trade finance,mining,1,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0024-collections,DEMO-R0024,DEMO-TEAM-24,Collections,tech,1,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0024-payments,DEMO-R0024,DEMO-TEAM-24,Payments,tech,1,0.5,1,1,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0024-liquidity,DEMO-R0024,DEMO-TEAM-24,Liquidity,tech,1,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0024-fx-fx,DEMO-R0024,DEMO-TEAM-24,Cross-border FX,tech,1,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0024-trade-finance,DEMO-R0024,DEMO-TEAM-24,Trade finance,tech,1,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0025-collections,DEMO-R0025,DEMO-TEAM-25,Collections,industrials_pharma,1,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0025-payments,DEMO-R0025,DEMO-TEAM-25,Payments,industrials_pharma,1,0.5,0,1,1,67658.82,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0025-liquidity,DEMO-R0025,DEMO-TEAM-25,Liquidity,industrials_pharma,1,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0025-fx-fx,DEMO-R0025,DEMO-TEAM-25,Cross-border FX,industrials_pharma,1,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0025-trade-finance,DEMO-R0025,DEMO-TEAM-25,Trade finance,industrials_pharma,1,0.5,1,1,1,999527.57,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0026-collections,DEMO-R0026,DEMO-TEAM-26,Collections,consumer,1,0.5,1,1,1,117272.77,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0026-payments,DEMO-R0026,DEMO-TEAM-26,Payments,consumer,1,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0026-liquidity,DEMO-R0026,DEMO-TEAM-26,Liquidity,consumer,1,0.5,1,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0026-fx-fx,DEMO-R0026,DEMO-TEAM-26,Cross-border FX,consumer,1,0.5,1,1,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0026-trade-finance,DEMO-R0026,DEMO-TEAM-26,Trade finance,consumer,1,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0027-collections,DEMO-R0027,DEMO-TEAM-27,Collections,tech,0,0.5,1,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0027-payments,DEMO-R0027,DEMO-TEAM-27,Payments,tech,0,0.5,1,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0027-liquidity,DEMO-R0027,DEMO-TEAM-27,Liquidity,tech,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0027-fx-fx,DEMO-R0027,DEMO-TEAM-27,Cross-border FX,tech,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0027-trade-finance,DEMO-R0027,DEMO-TEAM-27,Trade finance,tech,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0028-collections,DEMO-R0028,DEMO-TEAM-28,Collections,insurance,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0028-payments,DEMO-R0028,DEMO-TEAM-28,Payments,insurance,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0028-liquidity,DEMO-R0028,DEMO-TEAM-28,Liquidity,insurance,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0028-fx-fx,DEMO-R0028,DEMO-TEAM-28,Cross-border FX,insurance,0,0.5,0,0,1,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0028-trade-finance,DEMO-R0028,DEMO-TEAM-28,Trade finance,insurance,0,0.5,1,1,1,1470250.82,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0029-collections,DEMO-R0029,DEMO-TEAM-29,Collections,consumer,1,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0029-payments,DEMO-R0029,DEMO-TEAM-29,Payments,consumer,1,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0029-liquidity,DEMO-R0029,DEMO-TEAM-29,Liquidity,consumer,1,0.5,1,1,1,1155803.12,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0029-fx-fx,DEMO-R0029,DEMO-TEAM-29,Cross-border FX,consumer,1,0.5,1,1,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0029-trade-finance,DEMO-R0029,DEMO-TEAM-29,Trade finance,consumer,1,0.5,0,0,1,7742272.6,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0030-collections,DEMO-R0030,DEMO-TEAM-30,Collections,insurance,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0030-payments,DEMO-R0030,DEMO-TEAM-30,Payments,insurance,0,0.5,1,1,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0030-liquidity,DEMO-R0030,DEMO-TEAM-30,Liquidity,insurance,0,0.5,0,1,1,909122.33,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0030-fx-fx,DEMO-R0030,DEMO-TEAM-30,Cross-border FX,insurance,0,0.5,0,1,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0030-trade-finance,DEMO-R0030,DEMO-TEAM-30,Trade finance,insurance,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0031-collections,DEMO-R0031,DEMO-TEAM-01,Collections,mining,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0031-payments,DEMO-R0031,DEMO-TEAM-01,Payments,mining,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0031-liquidity,DEMO-R0031,DEMO-TEAM-01,Liquidity,mining,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0031-fx-fx,DEMO-R0031,DEMO-TEAM-01,Cross-border FX,mining,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
DEMO-R0031-trade-finance,DEMO-R0031,DEMO-TEAM-01,Trade finance,mining,0,0.5,0,0,0,0.0,False,SYNTHETIC_CAUSAL_REHEARSAL,False
