rank,opportunity_id,entity_id,entity_name,sector,product,observed_activity_zar,share_p50,wallet_p10_zar,wallet_p50_zar,wallet_p90_zar,gap_p10_zar,gap_p50_zar,gap_p90_zar,confidence,confidence_label,timing_score,fit_score,top10_probability,priority_score,anchor_active,anchor_name,anchor_fact_ids,prior_wallet_p10_zar,prior_wallet_p50_zar,prior_wallet_p90_zar,prior_relative_interval_width,anchored_relative_interval_width,relative_interval_width_reduction,confidence_before_anchor,confidence_lift
17,E11-liquidity,E11,Pepkor Holdings,consumer,Liquidity,16661048006.12,0.3627,30081847366.52,45936226704.67,85885349099.01,0.0,945276.26,12088109.76,0.722467,Medium,0.582298,0.92,0.096,365855.37,False,,,30081847366.52,45936226704.67,85885349099.01,1.214804,1.214804,0.0,0.722467,0.0
18,E03-trade-finance,E03,Anglo American,mining,Trade finance,632016627.58,0.324731,1198826363.64,1946278911.67,4043104696.91,0.0,689213.42,4996661.72,0.684137,Medium,0.672796,1.0,0.034,317234.27,False,,,1198826363.64,1946278911.67,4043104696.91,1.461393,1.461393,0.0,0.684137,0.0
19,E04-trade-finance,E04,AngloGold Ashanti,mining,Trade finance,515693855.49,0.320045,983197634.92,1611315838.58,3355380567.36,0.0,623101.51,4128827.49,0.694145,Medium,0.710632,1.0,0.019,307364.9,False,,,983197634.92,1611315838.58,3355380567.36,1.472202,1.472202,0.0,0.694145,0.0
20,E08-liquidity,E08,Sanlam,insurance,Liquidity,9384388879.9,0.355677,17202920440.02,26384604767.92,46928944203.98,0.0,764144.74,6167431.18,0.678979,Medium,0.581692,1.0,0.038,301803.82,False,,,17202920440.02,26384604767.92,46928944203.98,1.126643,1.126643,0.0,0.678979,0.0
21,E05-trade-finance,E05,Gold Fields,mining,Trade finance,695385751.85,0.335662,1314340144.64,2071687054.14,4245848036.6,0.0,622917.02,4871871.42,0.624587,Medium,0.710169,1.0,0.023,276302.61,False,,,1314340144.64,2071687054.14,4245848036.6,1.415034,1.415034,0.0,0.624587,0.0
22,E19-trade-finance,E19,Aspen Pharmacare,industrials_pharma,Trade finance,532422716.56,0.315592,1034860155.14,1687060261.66,3547243850.41,0.0,616364.73,4482691.97,0.636142,Medium,0.736337,0.92,0.019,265617.42,False,,,1034860155.14,1687060261.66,3547243850.41,1.489208,1.489208,0.0,0.636142,0.0
23,E10-liquidity,E10,Bid Corporation,consumer,Liquidity,6290589174.17,0.348896,11683136057.3,18029991596.66,34016891100.14,0.0,526079.57,4674136.27,0.696382,Medium,0.592141,0.92,0.022,199577.44,False,,,11683136057.3,18029991596.66,34016891100.14,1.2387,1.2387,0.0,0.696382,0.0
24,E16-liquidity,E16,MTN Group,telecoms,Liquidity,5085488242.22,0.35161,9408747897.67,14463449612.49,26498510976.12,0.0,413142.08,3843674.8,0.722554,Medium,0.580173,0.92,0.012,159336.33,False,,,9408747897.67,14463449612.49,26498510976.12,1.181583,1.181583,0.0,0.722554,0.0
25,E09-trade-finance,E09,Shoprite Holdings,consumer,Trade finance,1539090586.51,0.382709,2717306396.8,4021565569.39,5815590383.92,0.0,259227.26,4073765.71,0.975618,High,0.816432,0.77,0.011,158990.59,True,Audited payments base × trade-utilisation range,SHP-2025-COST|SHP-2025-INV-OPEN|SHP-2025-INV-CLOSE|SHP-2025-AP-OPEN|SHP-2025-AP-CLOSE,2837122006.6,4620820520.58,9386229497.04,1.417304,0.770417,0.456421,0.715618,0.26
26,E16-cross-border-fx,E16,MTN Group,telecoms,Cross-border FX,6198359963.54,0.373677,11210936039.84,16587474871.68,27897656164.14,0.0,354021.96,5274818.17,0.710726,Medium,0.566408,0.96,0.019,136814.71,False,,,11210936039.84,16587474871.68,27897656164.14,1.005983,1.005983,0.0,0.710726,0.0
27,E03-liquidity,E03,Anglo American,mining,Liquidity,3684707424.19,0.345814,6960699682.19,10655165436.37,19958766647.35,0.0,337957.33,2950535.28,0.702713,Medium,0.566025,0.88,0.004,118292.72,False,,,6960699682.19,10655165436.37,19958766647.35,1.219884,1.219884,0.0,0.702713,0.0
28,E06-trade-finance,E06,Valterra Platinum,mining,Trade finance,115378320.23,0.303149,223487712.02,380599224.13,821544297.94,0.0,169393.15,1089844.39,0.680087,Medium,0.95,1.0,0.002,109442.05,False,,,223487712.02,380599224.13,821544297.94,1.571355,1.571355,0.0,0.680087,0.0
29,E11-cross-border-fx,E11,Pepkor Holdings,consumer,Cross-border FX,6634085230.0,0.381025,11680572687.68,17411172446.31,30516466561.43,0.0,302428.89,5843149.55,0.715192,Medium,0.573201,0.83,0.023,102903.7,False,,,11680572687.68,17411172446.31,30516466561.43,1.081828,1.081828,0.0,0.715192,0.0
30,E10-cross-border-fx,E10,Bid Corporation,consumer,Cross-border FX,6147453597.41,0.374931,11057839561.53,16396205361.7,28020932017.11,0.0,293754.36,5014545.38,0.687094,Medium,0.583728,0.83,0.011,97788.83,False,,,11057839561.53,16396205361.7,28020932017.11,1.034574,1.034574,0.0,0.687094,0.0
31,E17-trade-finance,E17,Vodacom Group,telecoms,Trade finance,180738873.83,0.310171,355878125.81,582707490.48,1208019491.12,0.0,237681.06,1530863.8,0.707559,Medium,0.786735,0.68,0.001,89969.36,False,,,355878125.81,582707490.48,1208019491.12,1.462383,1.462383,0.0,0.707559,0.0
32,E18-liquidity,E18,The Bidvest Group,industrials_pharma,Liquidity,2312524649.81,0.347788,4228569372.54,6649245806.53,13129252237.05,0.0,227113.75,1938669.53,0.708153,Medium,0.566357,0.88,0.001,80157.34,False,,,4228569372.54,6649245806.53,13129252237.05,1.3386,1.3386,0.0,0.708153,0.0
33,E14-cross-border-fx,E14,Prosus,tech,Cross-border FX,1971289911.87,0.358809,3630024982.37,5493974600.48,10024304472.58,0.0,197701.98,2078464.05,0.713955,Medium,0.558683,1.0,0.003,78858.3,False,,,3630024982.37,5493974600.48,10024304472.58,1.163871,1.163871,0.0,0.713955,0.0
34,E15-cross-border-fx,E15,Naspers,tech,Cross-border FX,2051310999.43,0.370981,3793368486.46,5529423442.7,9969582081.56,0.0,171678.34,2091065.55,0.720969,Medium,0.632015,1.0,0.002,78227.54,False,,,3793368486.46,5529423442.7,9969582081.56,1.116972,1.116972,0.0,0.720969,0.0
35,E18-cross-border-fx,E18,The Bidvest Group,industrials_pharma,Cross-border FX,1612092315.4,0.358422,3000473703.21,4497747067.14,8051356566.22,0.0,190495.36,1712643.71,0.718813,Medium,0.576458,0.94,0.0,74198.65,False,,,3000473703.21,4497747067.14,8051356566.22,1.122981,1.122981,0.0,0.718813,0.0
36,E19-cross-border-fx,E19,Aspen Pharmacare,industrials_pharma,Cross-border FX,1411158689.62,0.350508,2649788561.23,4026041711.06,7273588518.56,0.0,173299.65,1564667.5,0.718627,Medium,0.608187,0.94,0.0,71197.67,False,,,2649788561.23,4026041711.06,7273588518.56,1.148473,1.148473,0.0,0.718627,0.0
37,E19-liquidity,E19,Aspen Pharmacare,industrials_pharma,Liquidity,1726712925.1,0.341428,3224913936.93,5057333618.03,9698319569.44,0.0,190630.12,1426744.27,0.693128,Medium,0.597856,0.88,0.0,69515.94,False,,,3224913936.93,5057333618.03,9698319569.44,1.280004,1.280004,0.0,0.693128,0.0
38,E17-cross-border-fx,E17,Vodacom Group,telecoms,Cross-border FX,2899257210.24,0.37213,5179163066.85,7790988900.61,13375830491.69,0.0,176617.13,2585660.35,0.713742,Medium,0.552254,0.96,0.002,66831.92,False,,,5179163066.85,7790988900.61,13375830491.69,1.05207,1.05207,0.0,0.713742,0.0
39,E08-cross-border-fx,E08,Sanlam,insurance,Cross-border FX,2658605045.95,0.368987,4843942041.18,7205142173.97,12470352396.26,0.0,214866.33,2529718.72,0.712946,Medium,0.593655,0.66,0.0,60020.96,False,,,4843942041.18,7205142173.97,12470352396.26,1.058468,1.058468,0.0,0.712946,0.0
40,E05-cross-border-fx,E05,Gold Fields,mining,Cross-border FX,895360389.99,0.346372,1691171922.83,2584965986.92,4630208392.21,0.0,132513.5,1016907.12,0.713547,Medium,0.571127,1.0,0.0,54002.62,False,,,1691171922.83,2584965986.92,4630208392.21,1.136973,1.136973,0.0,0.713547,0.0
41,E12-cross-border-fx,E12,Clicks Group,consumer,Cross-border FX,1004899575.88,0.346893,1891759442.56,2896856133.53,5403018941.49,0.0,145928.09,1191452.42,0.723597,Medium,0.616048,0.83,0.0,53991.92,False,,,1891759442.56,2896856133.53,5403018941.49,1.212093,1.212093,0.0,0.723597,0.0
42,E04-cross-border-fx,E04,AngloGold Ashanti,mining,Cross-border FX,846568733.02,0.349828,1608519935.09,2419957501.46,4499167336.33,0.0,115825.5,1027888.0,0.714494,Medium,0.619125,1.0,0.0,51236.76,False,,,1608519935.09,2419957501.46,4499167336.33,1.194503,1.194503,0.0,0.714494,0.0
43,E08-trade-finance,E08,Sanlam,insurance,Trade finance,150787778.32,0.312748,288400909.94,482137778.77,1022809402.94,0.0,195374.92,1384166.31,0.690018,Medium,0.95,0.38,0.0,48667.23,False,,,288400909.94,482137778.77,1022809402.94,1.523234,1.523234,0.0,0.690018,0.0
44,E03-cross-border-fx,E03,Anglo American,mining,Cross-border FX,992003847.43,0.354487,1839877299.53,2798420366.03,5021057893.88,0.0,122360.31,1143972.71,0.671736,Medium,0.575592,1.0,0.0,47310.12,False,,,1839877299.53,2798420366.03,5021057893.88,1.136777,1.136777,0.0,0.671736,0.0
45,E05-liquidity,E05,Gold Fields,mining,Liquidity,841474888.83,0.328427,1605877572.86,2562140361.08,4993975519.2,0.0,112432.96,755316.38,0.698174,Medium,0.585133,0.88,0.0,40419.82,False,,,1605877572.86,2562140361.08,4993975519.2,1.32237,1.32237,0.0,0.698174,0.0
46,E07-cross-border-fx,E07,OUTsurance Group,insurance,Cross-border FX,1135855217.79,0.353381,2118713601.38,3214249180.99,5828100126.62,0.0,153187.16,1266438.25,0.650468,Medium,0.579507,0.66,0.0,38111.1,False,,,2118713601.38,3214249180.99,5828100126.62,1.154044,1.154044,0.0,0.650468,0.0
47,E12-trade-finance,E12,Clicks Group,consumer,Trade finance,63867542.63,0.302562,124237054.89,211088844.56,458923012.09,0.0,99151.82,599336.89,0.635428,Medium,0.784896,0.77,0.0,38077.64,False,,,124237054.89,211088844.56,458923012.09,1.585522,1.585522,0.0,0.635428,0.0
48,E04-liquidity,E04,AngloGold Ashanti,mining,Liquidity,967211658.38,0.341492,1852561078.0,2832310115.73,5549157530.86,0.0,95878.17,810875.41,0.702902,Medium,0.573675,0.88,0.0,34022.26,False,,,1852561078.0,2832310115.73,5549157530.86,1.305152,1.305152,0.0,0.702902,0.0
49,E15-liquidity,E15,Naspers,tech,Liquidity,713462143.32,0.331434,1338550215.85,2152654163.8,4091597017.04,0.0,86193.44,629458.95,0.711536,Medium,0.619192,0.88,0.0,33417.88,False,,,1338550215.85,2152654163.8,4091597017.04,1.278908,1.278908,0.0,0.711536,0.0
50,E14-liquidity,E14,Prosus,tech,Liquidity,942680094.65,0.340016,1771780970.37,2772459832.91,5261693021.34,0.0,91664.79,819674.81,0.721467,Medium,0.565194,0.88,0.0,32892.67,False,,,1771780970.37,2772459832.91,5261693021.34,1.258778,1.258778,0.0,0.721467,0.0
51,E15-trade-finance,E15,Naspers,tech,Trade finance,45388341.4,0.295672,89668357.25,153509094.98,327573236.15,0.0,75431.61,425113.79,0.681167,Medium,0.908994,0.46,0.0,21484.54,False,,,89668357.25,153509094.98,327573236.15,1.549777,1.549777,0.0,0.681167,0.0
52,E07-trade-finance,E07,OUTsurance Group,insurance,Trade finance,78607464.9,0.308303,153436515.21,254967935.97,534867887.59,0.0,105815.11,672848.11,0.711468,Medium,0.620123,0.38,0.0,17740.44,False,,,153436515.21,254967935.97,534867887.59,1.495997,1.495997,0.0,0.711468,0.0
53,E13-cross-border-fx,E13,NEPI Rockcastle,real_estate,Cross-border FX,303281526.08,0.346091,577506717.67,876304935.49,1533482728.41,0.0,41869.8,345371.86,0.687826,Medium,0.609293,0.78,0.0,13686.74,False,,,577506717.67,876304935.49,1533482728.41,1.090917,1.090917,0.0,0.687826,0.0
54,E14-trade-finance,E14,Prosus,tech,Trade finance,32376358.75,0.252261,66481657.31,128344815.34,360050124.4,0.0,91113.69,543348.31,0.485754,Low,0.61,0.46,0.0,12419.03,False,,,66481657.31,128344815.34,360050124.4,2.287342,2.287342,0.0,0.485754,0.0
55,E06-cross-border-fx,E06,Valterra Platinum,mining,Cross-border FX,202511540.88,0.340438,386024991.82,594855552.28,1106881947.12,0.0,32586.08,243410.91,0.714505,Medium,0.528343,1.0,0.0,12301.38,False,,,386024991.82,594855552.28,1106881947.12,1.211818,1.211818,0.0,0.714505,0.0
56,E07-liquidity,E07,OUTsurance Group,insurance,Liquidity,164622825.8,0.333652,317530079.46,493397365.08,970557482.53,0.0,20562.52,147787.33,0.688523,Medium,0.599949,1.0,0.0,8493.94,False,,,317530079.46,493397365.08,970557482.53,1.323532,1.323532,0.0,0.688523,0.0
57,E20-cross-border-fx,E20,Shaftesbury Capital plc,real_estate,Cross-border FX,111379150.66,0.342932,214164488.94,324784851.56,584116381.66,0.0,16979.91,124476.89,0.69896,Medium,0.630916,0.78,0.0,5840.55,False,,,214164488.94,324784851.56,584116381.66,1.139068,1.139068,0.0,0.69896,0.0
58,E17-liquidity,E17,Vodacom Group,telecoms,Liquidity,118332875.3,0.329547,226642503.64,359077946.42,691623219.98,0.0,14967.22,107959.34,0.715639,Medium,0.565357,0.92,0.0,5571.17,False,,,226642503.64,359077946.42,691623219.98,1.29493,1.29493,0.0,0.715639,0.0
59,E20-trade-finance,E20,Shaftesbury Capital plc,real_estate,Trade finance,8340761.67,0.260341,16919164.48,32037855.39,84483037.87,0.0,20834.25,134953.45,0.505587,Low,0.95,0.48,0.0,4803.29,False,,,16919164.48,32037855.39,84483037.87,2.108876,2.108876,0.0,0.505587,0.0
60,E12-liquidity,E12,Clicks Group,consumer,Liquidity,96531372.4,0.323581,188918173.78,298321967.02,582333957.7,0.0,12947.32,93659.35,0.716193,Medium,0.550311,0.92,0.0,4694.68,False,,,188918173.78,298321967.02,582333957.7,1.318762,1.318762,0.0,0.716193,0.0
61,E13-trade-finance,E13,NEPI Rockcastle,real_estate,Trade finance,3904356.82,0.257488,8031497.36,15163246.97,43513151.28,0.0,10325.28,65115.1,0.505587,Low,0.95,0.48,0.0,2380.47,False,,,8031497.36,15163246.97,43513151.28,2.339977,2.339977,0.0,0.505587,0.0
62,E13-liquidity,E13,NEPI Rockcastle,real_estate,Liquidity,23729314.1,0.323256,45530884.59,73407160.01,143549129.2,0.0,3307.98,23185.08,0.676958,Medium,0.559917,1.0,0.0,1253.86,False,,,45530884.59,73407160.01,143549129.2,1.335268,1.335268,0.0,0.676958,0.0
63,E06-liquidity,E06,Valterra Platinum,mining,Liquidity,24953375.79,0.323963,48464932.77,77025358.52,157667621.38,0.0,3531.86,24887.56,0.716458,Medium,0.431847,0.88,0.0,961.63,False,,,48464932.77,77025358.52,157667621.38,1.41775,1.41775,0.0,0.716458,0.0
64,E20-liquidity,E20,Shaftesbury Capital plc,real_estate,Liquidity,5948238.47,0.316077,11500748.95,18818936.52,36708101.08,0.0,905.27,5835.15,0.718966,Medium,0.536292,1.0,0.0,349.05,False,,,11500748.95,18818936.52,36708101.08,1.339467,1.339467,0.0,0.718966,0.0
65,E05-payments,E05,Gold Fields,mining,Payments,777545050.73,0.396696,1385991107.82,1960054090.37,3183058360.01,0.0,951.36,42521.27,0.691767,Medium,0.549562,0.86,0.0,311.04,False,,,1385991107.82,1960054090.37,3183058360.01,0.916846,0.916846,0.0,0.691767,0.0
66,E19-payments,E19,Aspen Pharmacare,industrials_pharma,Payments,2586911023.6,0.401294,4545265978.69,6446428349.6,10292434847.08,0.0,341.82,149466.69,0.691454,Medium,0.597923,0.96,0.0,135.67,False,,,4545265978.69,6446428349.6,10292434847.08,0.891528,0.891528,0.0,0.691454,0.0
67,E07-payments,E07,OUTsurance Group,insurance,Payments,219822672.68,0.396416,396131103.67,554525697.19,889692163.26,0.0,343.58,12498.7,0.68336,Medium,0.6268,0.84,0.0,123.62,False,,,396131103.67,554525697.19,889692163.26,0.89006,0.89006,0.0,0.68336,0.0
68,E12-payments,E12,Clicks Group,consumer,Payments,124389561.88,0.388585,223775859.28,320109267.08,515553118.41,0.0,284.0,7396.11,0.713999,Medium,0.549943,1.0,0.0,111.52,False,,,223775859.28,320109267.08,515553118.41,0.911493,0.911493,0.0,0.713999,0.0
69,E17-payments,E17,Vodacom Group,telecoms,Payments,151625793.89,0.39089,270031328.72,387898814.2,605096201.73,0.0,147.15,8716.86,0.714801,Medium,0.538923,0.94,0.0,53.28,False,,,270031328.72,387898814.2,605096201.73,0.863795,0.863795,0.0,0.714801,0.0
70,E13-payments,E13,NEPI Rockcastle,real_estate,Payments,31454174.67,0.390214,55939411.95,80607583.19,131486008.48,0.0,79.61,1885.6,0.668635,Medium,0.593979,0.86,0.0,27.19,False,,,55939411.95,80607583.19,131486008.48,0.937215,0.937215,0.0,0.668635,0.0
71,E06-payments,E06,Valterra Platinum,mining,Payments,17279446.71,0.381715,31875607.44,45267955.17,72186729.79,0.0,64.39,1027.19,0.701464,Medium,0.520017,0.86,0.0,20.2,False,,,31875607.44,45267955.17,72186729.79,0.8905,0.8905,0.0,0.701464,0.0
72,E20-payments,E20,Shaftesbury Capital plc,real_estate,Payments,6186933.43,0.385523,11226691.88,16048146.31,26213288.17,0.0,21.01,415.66,0.717038,Medium,0.530622,0.86,0.0,6.88,False,,,11226691.88,16048146.31,26213288.17,0.933852,0.933852,0.0,0.717038,0.0
73,E03-collections,E03,Anglo American,mining,Collections,4294499422.71,0.442016,7099066074.74,9715720132.13,15377560977.72,0.0,0.0,263974.44,0.704584,Medium,0.572463,0.78,0.0,0.0,False,,,7099066074.74,9715720132.13,15377560977.72,0.852072,0.852072,0.0,0.704584,0.0
74,E03-payments,E03,Anglo American,mining,Payments,3074915425.66,0.409145,5296311071.56,7515477478.56,12008965991.16,0.0,0.0,161329.57,0.700163,Medium,0.557695,0.86,0.0,0.0,False,,,5296311071.56,7515477478.56,12008965991.16,0.893177,0.893177,0.0,0.700163,0.0
75,E04-collections,E04,AngloGold Ashanti,mining,Collections,1027502123.96,0.422152,1707127737.15,2433963247.65,3740161188.85,0.0,0.0,67547.36,0.708489,Medium,0.595554,0.78,0.0,0.0,False,,,1707127737.15,2433963247.65,3740161188.85,0.835277,0.835277,0.0,0.708489,0.0
76,E04-payments,E04,AngloGold Ashanti,mining,Payments,906921192.79,0.396941,1591709007.67,2284774704.73,3779997452.76,0.0,0.0,53457.41,0.696212,Medium,0.550459,0.86,0.0,0.0,False,,,1591709007.67,2284774704.73,3779997452.76,0.95777,0.95777,0.0,0.696212,0.0
77,E05-collections,E05,Gold Fields,mining,Collections,905404726.94,0.420595,1549978956.42,2152675335.17,3359449842.87,0.0,0.0,65447.45,0.703401,Medium,0.618227,0.78,0.0,0.0,False,,,1549978956.42,2152675335.17,3359449842.87,0.840568,0.840568,0.0,0.703401,0.0
78,E06-collections,E06,Valterra Platinum,mining,Collections,32627304.87,0.408463,56994775.26,79878263.26,129113737.48,0.0,0.0,2616.57,0.723611,Medium,0.397071,0.78,0.0,0.0,False,,,56994775.26,79878263.26,129113737.48,0.902861,0.902861,0.0,0.723611,0.0
79,E07-collections,E07,OUTsurance Group,insurance,Collections,109422978.92,0.414002,188250185.26,264305233.82,428686835.03,0.0,0.0,8412.09,0.698254,Medium,0.552025,0.93,0.0,0.0,False,,,188250185.26,264305233.82,428686835.03,0.909693,0.909693,0.0,0.698254,0.0
80,E08-collections,E08,Sanlam,insurance,Collections,5302959760.24,0.440069,8779213589.8,12050300895.8,18566667002.3,0.0,0.0,321758.34,0.680922,Medium,0.567005,0.93,0.0,0.0,False,,,8779213589.8,12050300895.8,18566667002.3,0.812217,0.812217,0.0,0.680922,0.0
81,E08-payments,E08,Sanlam,insurance,Payments,13465817999.56,0.417837,22879720734.03,32227463389.69,51116103678.21,0.0,0.0,664705.88,0.678227,Medium,0.589109,0.84,0.0,0.0,False,,,22879720734.03,32227463389.69,51116103678.21,0.876159,0.876159,0.0,0.678227,0.0
82,E09-liquidity,E09,Shoprite Holdings,consumer,Liquidity,5165706531.24,0.844206,5688609850.97,6119011733.05,6750601034.05,0.0,0.0,0.0,0.980051,High,0.680588,0.92,0.0,0.0,True,Audited debt-maturity liquidity range,SHP-2025-DEBT|SHP-2025-STF,9437508368.03,14887678477.28,27508011445.2,1.213789,0.173556,0.857013,0.720051,0.26
83,E09-cross-border-fx,E09,Shoprite Holdings,consumer,Cross-border FX,3347437360.41,0.407105,6044312407.14,8222549729.24,11068845103.99,0.0,0.0,1184435.79,0.978337,High,0.58161,0.83,0.0,0.0,True,Audited FX exposure/notional turnover range,SHP-2025-FX,5989120369.5,8878150031.95,15029011727.21,1.018218,0.611067,0.399866,0.718337,0.26
