fact_id,entity_id,entity_name,concept,value,unit,currency,period_start,period_end,available_date,source_title,source_url,page,method,confidence,audit_status,source_date,notes
GLEN-2025-REV,E02,Glencore,revenue,247535,million,USD,2025-01-01,2025-12-31,2026-03-10,Glencore Annual Report 2025,https://www.glencore.com/.rest/api/v1/documents/static/9b103e11-72e7-40bf-ae7c-eabe57361522/GLEN-2025-Annual-Report.pdf,136,direct audited line item,0.99,audited,2026-03-10,Consolidated statement of income revenue
GLEN-2025-COST,E02,Glencore,operating_cost_base,241672,million,USD,2025-01-01,2025-12-31,2026-03-10,Glencore Annual Report 2025,https://www.glencore.com/.rest/api/v1/documents/static/9b103e11-72e7-40bf-ae7c-eabe57361522/GLEN-2025-Annual-Report.pdf,136,direct audited line item,0.99,audited,2026-03-10,Cost of goods sold
GLEN-2025-AR-OPEN,E02,Glencore,trade_receivables_open,10878,million,USD,2024-01-01,2024-12-31,2026-03-10,Glencore Annual Report 2025,https://www.glencore.com/.rest/api/v1/documents/static/9b103e11-72e7-40bf-ae7c-eabe57361522/GLEN-2025-Annual-Report.pdf,186,direct audited comparative,0.99,audited,2026-03-10,Trade receivables including derivative features comparative balance
GLEN-2025-AR-CLOSE,E02,Glencore,trade_receivables_close,13428,million,USD,2025-01-01,2025-12-31,2026-03-10,Glencore Annual Report 2025,https://www.glencore.com/.rest/api/v1/documents/static/9b103e11-72e7-40bf-ae7c-eabe57361522/GLEN-2025-Annual-Report.pdf,186,direct audited line item,0.99,audited,2026-03-10,Trade receivables including derivative features closing balance
GLEN-2025-INV-OPEN,E02,Glencore,inventories_open,30097,million,USD,2024-01-01,2024-12-31,2026-03-10,Glencore Annual Report 2025,https://www.glencore.com/.rest/api/v1/documents/static/9b103e11-72e7-40bf-ae7c-eabe57361522/GLEN-2025-Annual-Report.pdf,185,direct audited comparative,0.99,audited,2026-03-10,Current plus non-current inventories comparative balance
GLEN-2025-INV-CLOSE,E02,Glencore,inventories_close,33955,million,USD,2025-01-01,2025-12-31,2026-03-10,Glencore Annual Report 2025,https://www.glencore.com/.rest/api/v1/documents/static/9b103e11-72e7-40bf-ae7c-eabe57361522/GLEN-2025-Annual-Report.pdf,185,direct audited line item,0.99,audited,2026-03-10,Current plus non-current inventories closing balance
GLEN-2025-AP-OPEN,E02,Glencore,trade_payables_open,24872,million,USD,2024-01-01,2024-12-31,2026-03-10,Glencore Annual Report 2025,https://www.glencore.com/.rest/api/v1/documents/static/9b103e11-72e7-40bf-ae7c-eabe57361522/GLEN-2025-Annual-Report.pdf,205,direct audited comparative,0.99,audited,2026-03-10,Trade payables including derivative features comparative balance
GLEN-2025-AP-CLOSE,E02,Glencore,trade_payables_close,30537,million,USD,2025-01-01,2025-12-31,2026-03-10,Glencore Annual Report 2025,https://www.glencore.com/.rest/api/v1/documents/static/9b103e11-72e7-40bf-ae7c-eabe57361522/GLEN-2025-Annual-Report.pdf,205,direct audited line item,0.99,audited,2026-03-10,Trade payables including derivative features closing balance
GLEN-2025-FX,E02,Glencore,fx_exposure,7587,million,USD,2025-01-01,2025-12-31,2026-03-10,Glencore Annual Report 2025,https://www.glencore.com/.rest/api/v1/documents/static/9b103e11-72e7-40bf-ae7c-eabe57361522/GLEN-2025-Annual-Report.pdf,212,direct audited note,0.95,audited,2026-03-10,Cross-currency swap hedge notional of 1378 plus 6209
GLEN-2025-DEBT,E02,Glencore,current_debt,14494,million,USD,2025-01-01,2025-12-31,2026-03-10,Glencore Annual Report 2025,https://www.glencore.com/.rest/api/v1/documents/static/9b103e11-72e7-40bf-ae7c-eabe57361522/GLEN-2025-Annual-Report.pdf,138,direct audited line item,0.99,audited,2026-03-10,Current borrowings
SHP-2025-REV,E09,Shoprite Holdings,revenue,256682,million,ZAR,2024-07-01,2025-06-29,2025-10-13,Shoprite Holdings Annual Financial Statements 2025,https://www.shopriteholdings.co.za/docs/shp-afs-2025.pdf,19,direct audited line item,0.99,audited,2025-10-01,Consolidated statement of comprehensive income revenue
SHP-2025-COST,E09,Shoprite Holdings,operating_cost_base,191259,million,ZAR,2024-07-01,2025-06-29,2025-10-13,Shoprite Holdings Annual Financial Statements 2025,https://www.shopriteholdings.co.za/docs/shp-afs-2025.pdf,19,direct audited line item,0.99,audited,2025-10-01,Cost of sales
SHP-2025-AR-OPEN,E09,Shoprite Holdings,trade_receivables_open,6714,million,ZAR,2023-07-01,2024-06-30,2025-10-13,Shoprite Holdings Annual Financial Statements 2025,https://www.shopriteholdings.co.za/docs/shp-afs-2025.pdf,18,direct audited comparative,0.99,audited,2025-10-01,Current plus non-current trade and other receivables comparative balance
SHP-2025-AR-CLOSE,E09,Shoprite Holdings,trade_receivables_close,6291,million,ZAR,2024-07-01,2025-06-29,2025-10-13,Shoprite Holdings Annual Financial Statements 2025,https://www.shopriteholdings.co.za/docs/shp-afs-2025.pdf,18,direct audited line item,0.99,audited,2025-10-01,Current plus non-current trade and other receivables closing balance
SHP-2025-INV-OPEN,E09,Shoprite Holdings,inventories_open,28366,million,ZAR,2023-07-01,2024-06-30,2025-10-13,Shoprite Holdings Annual Financial Statements 2025,https://www.shopriteholdings.co.za/docs/shp-afs-2025.pdf,18,direct audited comparative,0.99,audited,2025-10-01,Inventories comparative balance
SHP-2025-INV-CLOSE,E09,Shoprite Holdings,inventories_close,29748,million,ZAR,2024-07-01,2025-06-29,2025-10-13,Shoprite Holdings Annual Financial Statements 2025,https://www.shopriteholdings.co.za/docs/shp-afs-2025.pdf,18,direct audited line item,0.99,audited,2025-10-01,Inventories closing balance
SHP-2025-AP-OPEN,E09,Shoprite Holdings,trade_payables_open,32544,million,ZAR,2023-07-01,2024-06-30,2025-10-13,Shoprite Holdings Annual Financial Statements 2025,https://www.shopriteholdings.co.za/docs/shp-afs-2025.pdf,18,direct audited comparative,0.99,audited,2025-10-01,Current plus non-current trade and other payables comparative balance
SHP-2025-AP-CLOSE,E09,Shoprite Holdings,trade_payables_close,34160,million,ZAR,2024-07-01,2025-06-29,2025-10-13,Shoprite Holdings Annual Financial Statements 2025,https://www.shopriteholdings.co.za/docs/shp-afs-2025.pdf,18,direct audited line item,0.99,audited,2025-10-01,Current plus non-current trade and other payables closing balance
SHP-2025-FX,E09,Shoprite Holdings,fx_exposure,3572,million,ZAR,2024-07-01,2025-06-29,2025-10-13,Shoprite Holdings Annual Financial Statements 2025,https://www.shopriteholdings.co.za/docs/shp-afs-2025.pdf,118-119,direct audited note,0.95,audited,2025-10-01,Sum of absolute significant net monetary currency concentrations
SHP-2025-DEBT,E09,Shoprite Holdings,current_debt,489,million,ZAR,2024-07-01,2025-06-29,2025-10-13,Shoprite Holdings Annual Financial Statements 2025,https://www.shopriteholdings.co.za/docs/shp-afs-2025.pdf,18,direct audited line item,0.99,audited,2025-10-01,Current borrowings
SHP-2025-STF,E09,Shoprite Holdings,short_term_facilities,1863,million,ZAR,2024-07-01,2025-06-29,2025-10-13,Shoprite Holdings Annual Financial Statements 2025,https://www.shopriteholdings.co.za/docs/shp-afs-2025.pdf,18,direct audited line item,0.99,audited,2025-10-01,Bank overdrafts and other short-term facilities
